ensembl_gene_id,symbol,logFC,t,P.Value,p.adj
ENSG00000000003,TSPAN6,-5.643604444,-4.672128465,4.26e-05,0.000735801854974705
ENSG00000000419,DPM1,-0.181898089,-1.101830793,0.278019824,0.517607570175407
ENSG00000000457,SCYL3,0.496987374,1.491035084,0.144869071,0.344988913535565
ENSG00000000460,C1orf112,1.121799095,1.445899453,0.157059877,0.363093508672272
ENSG00000000938,FGR,10.67068734,7.212341651,1.98e-08,1.71865677966102e-06
ENSG00000000971,CFH,-3.412927673,-2.788886552,0.0084803,0.0461008266967365
ENSG00000001036,FUCA2,1.904662822,2.28224518,0.028635011,0.113175419705769
ENSG00000001084,GCLC,0.546058029,2.64921982,0.012004653,0.060184854798091
ENSG00000001167,NFYA,0.210562275,0.829701289,0.412304959,0.646486701405664
ENSG00000001460,STPG1,-1.794140966,-3.623953636,0.000908224,0.00838439325822442
ENSG00000001461,NIPAL3,-0.896970108,-4.624077835,4.92e-05,0.000821403422982885
ENSG00000001497,LAS1L,-0.101575808,-0.521024409,0.605615587,0.788182815971984
ENSG00000001561,ENPP4,1.745254585,4.046848846,0.000270921,0.00321169947048611
ENSG00000001626,CFTR,-0.123686307,-0.158618653,0.874876793,0.94127369246875
ENSG00000001629,ANKIB1,0.644793731,2.48031157,0.018059168,0.081682944685361
ENSG00000001630,CYP51A1,1.226094133,2.60065179,0.013518932,0.0654848243130764
ENSG00000001631,KRIT1,0.220166656,0.696433245,0.490735715,0.710067905024364
ENSG00000002016,RAD52,0.642748229,0.754229829,0.455732551,0.681635609465172
ENSG00000002330,BAD,-0.146980253,-0.597617783,0.553924335,0.755197497431452
ENSG00000002549,LAP3,0.256561955,1.288324747,0.206045697,0.431535231882732
ENSG00000002586,CD99,-0.297155559,-1.18441216,0.244193879,0.479086777482762
ENSG00000002587,HS3ST1,0.839680212,0.600879449,0.551774009,0.753891187511839
ENSG00000002726,AOC1,0.142306188,0.136472503,0.892226098,0.950460144038782
ENSG00000002746,HECW1,-1.532480959,-1.935908284,0.060950487,0.193426913430674
ENSG00000002822,MAD1L1,-0.789543144,-2.855558232,0.007162468,0.0404530347339399
ENSG00000002834,LASP1,1.952321782,4.544212398,6.25e-05,0.00099172153369481
ENSG00000002919,SNX11,1.686957161,3.010628288,0.004801783,0.029943538738204
ENSG00000002933,TMEM176A,0.409299748,0.268155174,0.790146693,0.898432227248279
ENSG00000003056,M6PR,0.041382577,0.202133908,0.840976933,0.924514997987818
ENSG00000003096,KLHL13,2.802919803,1.768952812,0.085575424,0.243541617204779
ENSG00000003147,ICA1,-0.389648851,-0.487076131,0.629226914,0.801324292476377
ENSG00000003249,DBNDD1,-6.775826625,-4.764750868,3.23e-05,0.000588147111111111
ENSG00000003393,ALS2,1.017706202,2.755104184,0.009231285,0.0492332021902655
ENSG00000003400,CASP10,1.629475193,4.271531362,0.000140345,0.00190825653846154
ENSG00000003402,CFLAR,0.73679508,5.330363008,5.82e-06,0.000145393536585366
ENSG00000003436,TFPI,0.781884837,0.602239599,0.550878566,0.753347078460563
ENSG00000003509,NDUFAF7,0.154793984,0.728791827,0.470955189,0.693953612808387
ENSG00000003756,RBM5,0.320995688,1.886372161,0.067524724,0.207258611198681
ENSG00000003987,MTMR7,1.437962492,1.574520566,0.124322419,0.31206282970408
ENSG00000004059,ARF5,-0.005467671,-0.045738837,0.963777176,0.984345231234171
ENSG00000004139,SARM1,0.109869997,0.279199508,0.781727287,0.893221969778838
ENSG00000004142,POLDIP2,-0.013302526,-0.08633578,0.931689232,0.969110080101554
ENSG00000004399,PLXND1,2.286961156,4.83976867,2.57e-05,0.00048477394106814
ENSG00000004455,AK2,0.436707581,2.864483767,0.007001351,0.0398046399528302
ENSG00000004468,CD38,6.670695634,4.931213125,1.95e-05,0.000385949275362319
ENSG00000004478,FKBP4,-0.262613025,-1.083007806,0.286175445,0.527043422711948
ENSG00000004487,KDM1A,0.012966602,0.081962571,0.935141238,0.97072055567469
ENSG00000004534,RBM6,0.352417561,2.036592912,0.049275356,0.167037178166474
ENSG00000004660,CAMKK1,-0.724124385,-0.827322227,0.413633699,0.647339534089451
ENSG00000004700,RECQL,0.485560045,1.693730077,0.099158075,0.269249111259112
ENSG00000004766,VPS50,0.457428258,0.932877972,0.357244474,0.598768863515791
ENSG00000004777,ARHGAP33,-0.20735986,-0.43438069,0.666665899,0.825627016454265
ENSG00000004779,NDUFAB1,-0.271746186,-1.45389107,0.154844137,0.359920815436855
ENSG00000004799,PDK4,6.264875711,4.660301625,4.42e-05,0.000758322445561139
ENSG00000004809,SLC22A16,0.150569319,0.226941449,0.821783452,0.91624467595461
ENSG00000004838,ZMYND10,4.30073053,4.685863551,4.09e-05,0.000712446003401361
ENSG00000004846,ABCB5,1.788032864,1.429041862,0.161815935,0.370575676743991
ENSG00000004864,SLC25A13,0.335154145,0.973549972,0.336929792,0.579564368533165
ENSG00000004866,ST7,1.186757895,1.628167641,0.112417409,0.291613349799291
ENSG00000004897,CDC27,-0.039812335,-0.206354122,0.837704456,0.922799299911809
ENSG00000004939,SLC4A1,-0.071531271,-0.091019145,0.927993891,0.96772321610339
ENSG00000004961,HCCS,0.288282122,0.354861093,0.724813176,0.860741907846956
